"year","population","state"
2004,8769252,"Georgia"
2004,1273569,"Hawaii"
2004,2953635,"Iowa"
2004,1391802,"Idaho"
2004,12589773,"Illinois"
2004,6233007,"Indiana"
2004,2734373,"Kansas"
2004,4146101,"Kentucky"
2004,4552238,"Louisiana"
2004,6412281,"Massachusetts"
2004,5546935,"Maryland"
2004,1313688,"Maine"
2004,10055315,"Michigan"
2004,5087713,"Minnesota"
2004,5747741,"Missouri"
2004,2889010,"Mississippi"
2004,930009,"Montana"
2004,8553152,"North Carolina"
2004,644705,"North Dakota"
2004,1749370,"Nebraska"
2004,1290121,"New Hampshire"
2004,8634561,"New Jersey"
2004,1903808,"New Mexico"
2004,2346222,"Nevada"
2004,19171567,"New York"
2004,11452251,"Ohio"
2004,3525233,"Oklahoma"
2004,3569463,"Oregon"
2004,12410722,"Pennsylvania"
2004,1074579,"Rhode Island"
2004,4210921,"South Carolina"
2004,770396,"South Dakota"
2004,5910809,"Tennessee"
2004,22394023,"Texas"
2004,2401580,"Utah"
2004,7475575,"Virginia"
2004,619920,"Vermont"
2004,6178645,"Washington"
2004,5514026,"Wisconsin"
2004,1816438,"West Virginia"
2004,509106,"Wyoming"
2005,666946,"Alaska"
2005,4569805,"Alabama"
2005,2781097,"Arkansas"
2005,5839077,"Arizona"
2005,35827943,"California"
2005,4631888,"Colorado"
2005,3506956,"Connecticut"
2005,567136,"District of Columbia"
2005,845150,"Delaware"
2005,17842038,"Florida"
2005,8925922,"Georgia"
2005,1292729,"Hawaii"
2005,2964454,"Iowa"
2005,1428241,"Idaho"
2005,12609903,"Illinois"
2005,6278616,"Indiana"
2005,2745299,"Kansas"
2005,4182742,"Kentucky"
2005,4576628,"Louisiana"
2005,6403290,"Massachusetts"
2005,5592379,"Maryland"
2005,1318787,"Maine"
2005,10051137,"Michigan"
2005,5119598,"Minnesota"
2005,5790300,"Missouri"
2005,2905943,"Mississippi"
2005,940102,"Montana"
2005,8705407,"North Carolina"
2005,646089,"North Dakota"
2005,1761497,"Nebraska"
2005,1298492,"New Hampshire"
2005,8651974,"New Jersey"
2005,1932274,"New Mexico"
2005,2432143,"Nevada"
2005,19132610,"New York"
2005,11463320,"Ohio"
2005,3548597,"Oklahoma"
2005,3613202,"Oregon"
2005,12449990,"Pennsylvania"
2005,1067916,"Rhode Island"
2005,4270150,"South Carolina"
2005,775493,"South Dakota"
2005,5991057,"Tennessee"
2005,22778123,"Texas"
2005,2457719,"Utah"
2005,7577105,"Virginia"
2005,621215,"Vermont"
2005,6257305,"Washington"
2005,5546166,"Wisconsin"
2005,1820492,"West Virginia"
2005,514157,"Wyoming"
2006,675302,"Alaska"
2006,4628981,"Alabama"
2006,2821761,"Arkansas"
2006,6029141,"Arizona"
2006,36021202,"California"
2006,4720423,"Colorado"
2006,3517460,"Connecticut"
2006,570681,"District of Columbia"
2006,859268,"Delaware"
2006,18166990,"Florida"
2006,9155813,"Georgia"
2006,1309731,"Hawaii"
2006,2982644,"Iowa"
2006,1468669,"Idaho"
2006,12643955,"Illinois"
2006,6332669,"Indiana"
2006,2762931,"Kansas"
2006,4219239,"Kentucky"
2006,4302665,"Louisiana"
2006,6410084,"Massachusetts"
2006,5627367,"Maryland"
2006,1323619,"Maine"
2006,10036081,"Michigan"
