State,Overall Homeless,Year
Ohio,13977,2012
Oklahoma,5032,2012
Oregon,15828,2012
Pennsylvania,14736,2012
Puerto Rico,3212,2012
Rhode Island,1277,2012
South Carolina,4915,2012
South Dakota,859,2012
Tennessee,9426,2012
Texas,34052,2012
Utah,3527,2012
Virginia,8424,2012
Virgin Islands,484,2012
Vermont,1160,2012
Washington,20504,2012
Wisconsin,6027,2012
West Virginia,2410,2012
Wyoming,1813,2012
Alaska,2128,2011
Alabama,5558,2011
Arkansas,3424,2011
Arizona,10504,2011
California,125128,2011
Colorado,15116,2011
Connecticut,4456,2011
District of Columbia,6546,2011
Delaware,1035,2011
Florida,56687,2011
Georgia,20975,2011
Guam,1745,2011
Hawaii,6188,2011
Iowa,3134,2011
Idaho,2199,2011
Illinois,14009,2011
Indiana,6196,2011
Kansas,2511,2011
Kentucky,6034,2011
Louisiana,9291,2011
Massachusetts,16664,2011
Maryland,10208,2011
Maine,2447,2011
Michigan,13185,2011
Minnesota,7495,2011
Missouri,8989,2011
Mississippi,2306,2011
Montana,1768,2011
North Carolina,12896,2011
North Dakota,603,2011
Nebraska,3548,2011
New Hampshire,1469,2011
New Jersey,14137,2011
New Mexico,3601,2011
Nevada,9150,2011
New York,63445,2011
Ohio,13030,2011
Oklahoma,4625,2011
Oregon,17254,2011
Pennsylvania,15096,2011
Puerto Rico,2900,2011
Rhode Island,1070,2011
South Carolina,5093,2011
South Dakota,826,2011
Tennessee,9113,2011
Texas,36911,2011
Utah,3130,2011
Virginia,8816,2011
Virgin Islands,532,2011
Vermont,1144,2011
Washington,20439,2011
Wisconsin,5785,2011
West Virginia,2211,2011
Wyoming,1038,2011
Alaska,1863,2010
Alabama,6046,2010
Arkansas,2762,2010
Arizona,13711,2010
California,123480,2010
Colorado,15482,2010
Connecticut,4316,2010
District of Columbia,6539,2010
Delaware,982,2010
Florida,57551,2010
Georgia,19836,2010
Guam,1635,2010
Hawaii,5834,2010
Iowa,3014,2010
Idaho,2346,2010
Illinois,14395,2010
Indiana,6452,2010
Kansas,2024,2010
Kentucky,6623,2010
Louisiana,12482,2010
Massachusetts,16646,2010
Maryland,10845,2010
Maine,2379,2010
Michigan,13058,2010
Minnesota,7869,2010
Missouri,8122,2010
Mississippi,2743,2010
Montana,1615,2010
North Carolina,12191,2010
North Dakota,799,2010
Nebraska,3877,2010
New Hampshire,1574,2010
New Jersey,13737,2010
New Mexico,3475,2010
Nevada,11205,2010
New York,65606,2010
Ohio,12569,2010
Oklahoma,5229,2010
Oregon,19492,2010
Pennsylvania,14516,2010
Puerto Rico,4149,2010
Rhode Island,1282,2010
South Carolina,4473,2010
South Dakota,731,2010
Tennessee,10276,2010
Texas,35121,2010
Utah,3284,2010
Virginia,9080,2010
Virgin Islands,487,2010
Vermont,1220,2010
Washington,22878,2010
Wisconsin,6333,2010
West Virginia,2264,2010
Wyoming,579,2010
Alaska,1992,2009
Alabama,6080,2009
Arkansas,2852,2009
Arizona,14721,2009
California,123678,2009
Colorado,15268,2009
Connecticut,4605,2009
District of Columbia,6228,2009
Delaware,1130,2009
Florida,55599,2009
Georgia,20360,2009
Guam,1088,2009
Hawaii,5782,2009
Iowa,3380,2009
Idaho,1939,2009
Illinois,14055,2009
Indiana,6984,2009
Kansas,1892,2009
Kentucky,5999,2009
Louisiana,12504,2009
Massachusetts,15482,2009
Maryland,11698,2009
Maine,2444,2009
Michigan,14005,2009
Minnesota,7718,2009
Missouri,6959,2009
Mississippi,2797,2009
Montana,1196,2009
North Carolina,12918,2009
North Dakota,773,2009
Nebraska,3718,2009
New Hampshire,1645,2009
New Jersey,13169,2009
New Mexico,3475,2009
Nevada,11089,2009
New York,61067,2009
Ohio,12700,2009
Oklahoma,4838,2009
Oregon,17309,2009
Pennsylvania,15096,2009
Puerto Rico,4070,2009
Rhode Island,1607,2009
South Carolina,4473,2009
South Dakota,731,2009
Tennessee,10532,2009
Texas,36761,2009
Utah,3795,2009
Virginia,8852,2009
Virgin Islands,471,2009
Vermont,1214,2009
Washington,22782,2009
Wisconsin,6525,2009
West Virginia,1667,2009
Wyoming,515,2009
Alaska,1646,2008
Alabama,5387,2008
Arkansas,3255,2008
Arizona,12488,2008
California,136531,2008
Colorado,14747,2008
Connecticut,4627,2008
District of Columbia,6044,2008
Delaware,933,2008
Florida,50158,2008
Georgia,19095,2008
Guam,725,2008
Hawaii,6061,2008
Iowa,3346,2008
Idaho,1464,2008
Illinois,14724,2008
Indiana,7395,2008
Kansas,1738,2008
Kentucky,8137,2008
Louisiana,5481,2008
Massachusetts,14506,2008
Maryland,9219,2008
Maine,2632,2008
Michigan,28248,2008
Minnesota,7644,2008
Missouri,7687,2008
Mississippi,1961,2008
Montana,1417,2008
North Carolina,12411,2008
North Dakota,615,2008
Nebraska,3985,2008
New Hampshire,2019,2008
New Jersey,13832,2008
New Mexico,3015,2008
Nevada,8726,2008
New York,61125,2008
Ohio,12912,2008
Oklahoma,3846,2008
Oregon,20653,2008
Pennsylvania,15378,2008
Puerto Rico,3012,2008
Rhode Island,1196,2008
South Carolina,5660,2008
South Dakota,579,2008
Tennessee,9705,2008
Texas,40190,2008
Utah,3434,2008
Virginia,8469,2008
Virgin Islands,602,2008
Vermont,954,2008
Washington,21954,2008
Wisconsin,5449,2008
West Virginia,2016,2008
Wyoming,751,2008
Alaska,1642,2007
Alabama,5452,2007
Arkansas,3836,2007
Arizona,14646,2007
California,138986,2007
Colorado,14225,2007
Connecticut,4482,2007
District of Columbia,5320,2007
Delaware,1061,2007
Florida,48069,2007
Georgia,19639,2007
Guam,725,2007
Hawaii,6070,2007
Iowa,2734,2007
Idaho,1749,2007
Illinois,15487,2007
Indiana,7358,2007
Kansas,2111,2007
Kentucky,8061,2007
Louisiana,5494,2007
Massachusetts,15127,2007
Maryland,9628,2007
Maine,2638,2007
Michigan,28295,2007
Minnesota,7323,2007
Missouri,6247,2007
Mississippi,1377,2007
Montana,1150,2007
North Carolina,11802,2007
North Dakota,636,2007
Nebraska,3531,2007
New Hampshire,2248,2007
New Jersey,17314,2007
New Mexico,3015,2007
Nevada,8642,2007
New York,62601,2007
Ohio,11264,2007
Oklahoma,4221,2007
Oregon,17590,2007
Pennsylvania,16220,2007
Puerto Rico,4309,2007
Rhode Island,1372,2007
South Carolina,5660,2007
South Dakota,579,2007
Tennessee,11210,2007
Texas,39788,2007
Utah,3011,2007
Virginia,9746,2007
Virgin Islands,559,2007
Vermont,1035,2007
Washington,23379,2007
Wisconsin,5648,2007
West Virginia,2409,2007
Wyoming,537,2007
